Date,KO,PEP
2020-08-11,40.8721923828125,115.28692626953125
2020-08-12,41.2985725402832,117.57357788085938
2020-08-13,41.25593566894531,117.82952880859375
2020-08-14,41.31562423706055,117.36880493164062
2020-08-17,41.1109733581543,117.67593383789062
2020-08-18,41.290035247802734,117.8380355834961
2020-08-19,40.394657135009766,116.42172241210938
2020-08-20,40.37760543823242,116.65206146240234
2020-08-21,40.31790542602539,116.43025970458984
2020-08-24,40.90630340576172,117.43704986572266
2020-08-25,40.85514450073242,117.14695739746094
2020-08-26,41.06831741333008,118.14519500732422
2020-08-27,41.12801742553711,118.0854721069336
2020-08-28,42.49241638183594,119.39944458007812
2020-08-31,42.236602783203125,119.50183868408203
2020-09-01,41.88697052001953,118.75953674316406
2020-09-02,43.65215301513672,122.25773620605469
2020-09-03,43.046695709228516,119.76820373535156
2020-09-04,43.52424240112305,119.24397277832031
2020-09-08,42.47536849975586,116.48546600341797
2020-09-09,42.799400329589844,117.82604217529297
2020-09-10,42.63737869262695,115.80656433105469
2020-09-11,43.54130172729492,116.70887756347656
2020-09-14,43.592872619628906,117.44790649414062
2020-09-15,43.88515853881836,116.54560852050781
2020-09-16,43.661643981933594,115.9956283569336
2020-09-17,43.4553337097168,114.4659423828125
2020-09-18,43.36936569213867,112.97927856445312
2020-09-21,42.200233459472656,112.7816390991211
2020-09-22,42.69023895263672,113.56365203857422
2020-09-23,41.44375228881836,112.57539367675781
2020-09-24,41.86497497558594,113.07383728027344
2020-09-25,41.882164001464844,114.7667465209961
2020-09-28,42.36357116699219,118.56510162353516
2020-09-29,42.054100036621094,117.8690185546875
2020-09-30,42.44094467163086,119.10649108886719
2020-10-01,42.27760314941406,120.9970703125
2020-10-02,42.43233871459961,118.64241790771484
2020-10-05,42.44953536987305,118.53068542480469
2020-10-06,42.071292877197266,116.61434936523438
2020-10-07,42.604278564453125,117.74011993408203
2020-10-08,43.377960205078125,118.46199035644531
2020-10-09,43.6788444519043,118.96900177001953
2020-10-12,43.91954040527344,122.14004516601562
2020-10-13,43.17164611816406,123.35169219970703
2020-10-14,43.0856819152832,122.47514343261719
2020-10-15,42.97392654418945,121.5384292602539
2020-10-16,43.008304595947266,121.79624938964844
2020-10-19,42.65585708618164,120.03459930419922
2020-10-20,43.19744110107422,120.06037902832031
2020-10-21,42.97392654418945,119.96583557128906
2020-10-22,43.56708908081055,119.97444152832031
2020-10-23,43.429542541503906,119.93146514892578
2020-10-26,42.81058883666992,118.64241790771484
2020-10-27,42.89656066894531,119.5533676147461
2020-10-28,41.22883224487305,115.29954528808594
2020-10-29,41.28041076660156,115.14486694335938
2020-10-30,41.31480407714844,114.54329681396484
2020-11-02,41.79619216918945,116.1417236328125
2020-11-03,42.42374801635742,117.7658920288086
2020-11-04,42.26900863647461,118.47056579589844
2020-11-05,42.50111389160156,118.63387298583984
2020-11-06,42.50971984863281,118.91744995117188
2020-11-09,45.19181823730469,118.97756958007812
2020-11-10,46.403926849365234,121.78765106201172
2020-11-11,46.06007385253906,123.66104888916016
2020-11-12,45.570068359375,123.60950469970703
2020-11-13,45.948326110839844,124.35714721679688
2020-11-16,46.29217529296875,125.25944519042969
2020-11-17,46.14603042602539,124.81261444091797
2020-11-18,45.22621154785156,123.21420288085938
2020-11-19,45.67322540283203,123.16263580322266
2020-11-20,45.27779769897461,123.24857330322266
2020-11-23,45.28638458251953,122.90481567382812
2020-11-24,45.7505989074707,123.77278137207031
2020-11-25,45.50130081176758,123.88447570800781
2020-11-27,45.3035888671875,124.26258850097656
2020-11-30,44.70576477050781,123.94464111328125
2020-12-01,45.086978912353516,125.52587890625
2020-12-02,45.14763259887695,124.27976989746094
2020-12-03,45.728111267089844,125.0180435180664
2020-12-04,46.65514373779297,126.22972869873047
2020-12-07,45.91004943847656,125.8143081665039
2020-12-08,46.074668884277344,125.94410705566406
2020-12-09,46.20462417602539,126.09125518798828
2020-12-10,45.96204376220703,125.20845794677734
2020-12-11,46.221954345703125,125.46809387207031
2020-12-14,46.15263748168945,124.82762908935547
2020-12-15,46.646480560302734,125.29500579833984
2020-12-16,45.970703125,125.39884185791016
2020-12-17,46.15263748168945,126.1085433959961
2020-12-18,46.559852600097656,127.16441345214844
2020-12-21,45.75410079956055,125.84024810791016
2020-12-22,45.71078109741211,124.64588928222656
2020-12-23,45.98802947998047,124.98340606689453
2020-12-24,46.2999267578125,125.54598236083984
2020-12-28,46.923736572265625,127.14714050292969
2020-12-29,46.89774703979492,127.58851623535156
2020-12-30,47.166324615478516,127.49330139160156
2020-12-31,47.51287841796875,128.35015869140625
2021-01-04,45.71078109741211,124.86225891113281
2021-01-05,45.20827865600586,125.23441314697266
2021-01-06,43.77007293701172,123.70252990722656
2021-01-07,43.284881591796875,123.3044204711914
2021-01-08,44.2552490234375,124.78438568115234
2021-01-11,43.49283218383789,122.97550964355469
2021-01-12,43.41484832763672,122.40428161621094
2021-01-13,43.458168029785156,123.40824890136719
2021-01-14,42.65242004394531,122.68989562988281
2021-01-15,42.193233489990234,122.36972045898438
2021-01-19,42.028621673583984,122.94955444335938
2021-01-20,42.175899505615234,122.31776428222656
2021-01-21,42.40983963012695,120.82915496826172
2021-01-22,42.01130294799805,119.94636535644531
2021-01-25,42.262542724609375,121.32245635986328
2021-01-26,42.70441436767578,122.72455596923828
2021-01-27,42.04594802856445,119.4703369140625
2021-01-28,42.583106994628906,120.46565246582031
2021-01-29,41.71672439575195,118.19808197021484
2021-02-01,42.00263214111328,118.55293273925781
2021-02-02,42.418495178222656,119.7646255493164
2021-02-03,42.25388717651367,119.45304870605469
2021-02-04,42.46181106567383,120.8897476196289
2021-02-05,43.01631164550781,121.99752807617188
2021-02-08,43.25022888183594,121.51285552978516
2021-02-09,43.059627532958984,120.82048034667969
2021-02-10,42.972984313964844,119.17610931396484
2021-02-11,43.5794677734375,116.81333923339844
2021-02-12,43.9173469543457,115.8613052368164
2021-02-16,43.553470611572266,116.30270385742188
2021-02-17,43.432167053222656,116.37195587158203
2021-02-18,43.986663818359375,117.1595230102539
2021-02-19,43.41484832763672,114.68427276611328
2021-02-22,43.86537551879883,114.23424530029297
2021-02-23,43.78740692138672,114.91793060302734
2021-02-24,43.9346809387207,114.32076263427734
2021-02-25,43.466827392578125,112.51190948486328
2021-02-26,42.44449996948242,111.81088256835938
2021-03-01,43.23291015625,113.04851531982422
2021-03-02,43.40618133544922,113.43797302246094
2021-03-03,43.30221939086914,111.76759338378906
2021-03-04,43.267555236816406,112.3896255493164
2021-03-05,44.00398635864258,116.05365753173828
2021-03-08,44.74042892456055,115.26850128173828
2021-03-09,44.06464385986328,115.37319946289062
2021-03-10,44.567142486572266,116.53346252441406
2021-03-11,44.08197021484375,116.21940612792969
2021-03-12,43.994606018066406,116.06236267089844
2021-03-15,44.579917907714844,116.05365753173828
2021-03-16,44.745906829833984,116.9085693359375
2021-03-17,44.76337814331055,116.56834411621094
2021-03-18,44.17805862426758,115.6174545288086
